"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CONN_02";"1X02";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_06SILK_FEMALE_PTH";"1X06";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"10";"";"SPARKFUN-LED_LED0603";"SPARKFUN-LED_LED-0603";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10";"LED (Generic)";"";
"1";"0.1uF";"SPARKFUN_CAP0603-CAP";"SPARKFUN_0603-CAP";"C1";"Capacitor";"";
"1";"100uF";"CPOL-EUE2.5-5";"E2,5-5";"C3";"POLARIZED CAPACITOR, European symbol";"";
"10";"150";"SPARKFUN-RESISTORS_150OHM-0603-1/10W-1%";"SPARKFUN-RESISTORS_0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10";"150Ω resistor";"";
"6";"455-1750-1-ND";"CONN_03";"1X03";"J3, J5, J6, J7, J8, J9";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"470uF";"CPOL-EUE2.5-6";"E2,5-6";"C2";"POLARIZED CAPACITOR, European symbol";"";
"1";"RESET";"431256038716";"431256038716";"S1";"WS-TST, 6*6mm right angle Tact switch,THT, height 3.85mm, 4 pins, black actuator, 160gf";"";
"1";"TEENSY_3.6_DIL";"TEENSY_3.6_DIL";"TEENSY_3.6_DIL";"U$1";"Teensy 3.6 DIL Package";"";
"1";"XT30PW-M";"XT30PW-M";"XT30PWM";"J2";"30A Low Temperature Rise Fire Retardant Plug";"";
